2024-09-27 22:56:58 - #----------Config info----------#
2024-09-27 22:56:58 - network: vmunet,
2024-09-27 22:56:58 - model_config: {'num_classes': 1, 'input_channels': 3, 'depths': [1, 1, 1, 1], 'depths_decoder': [1, 1, 1, 1], 'drop_path_rate': 0.2, 'load_ckpt_path': './pre_trained_weights/vmamba_small_e238_ema.pth'},
2024-09-27 22:56:58 - datasets: isic17,
2024-09-27 22:56:58 - data_path: ./data/isic2017/,
2024-09-27 22:56:58 - criterion: BceDiceLoss(
  (bce): BCELoss(
    (bceloss): BCELoss()
  )
  (dice): DiceLoss()
),
2024-09-27 22:56:58 - pretrained_path: ./pre_trained/,
2024-09-27 22:56:58 - num_classes: 1,
2024-09-27 22:56:58 - input_size_h: 256,
2024-09-27 22:56:58 - input_size_w: 256,
2024-09-27 22:56:58 - input_channels: 3,
2024-09-27 22:56:58 - distributed: False,
2024-09-27 22:56:58 - local_rank: -1,
2024-09-27 22:56:58 - num_workers: 0,
2024-09-27 22:56:58 - seed: 42,
2024-09-27 22:56:58 - world_size: None,
2024-09-27 22:56:58 - rank: None,
2024-09-27 22:56:58 - amp: False,
2024-09-27 22:56:58 - gpu_id: 0,
2024-09-27 22:56:58 - batch_size: 24,
2024-09-27 22:56:58 - epochs: 300,
2024-09-27 22:56:58 - work_dir: results/vmunet_isic17_Friday_27_September_2024_22h_56m_58s/,
2024-09-27 22:56:58 - print_interval: 1,
2024-09-27 22:56:58 - val_interval: 30,
2024-09-27 22:56:58 - save_interval: 100,
2024-09-27 22:56:58 - threshold: 0.5,
2024-09-27 22:56:58 - train_transformer: Compose(
    <utils.myNormalize object at 0x7f2d63b08eb0>
    <utils.myToTensor object at 0x7f2d63b08df0>
    <utils.myRandomHorizontalFlip object at 0x7f2d63b08100>
    <utils.myRandomVerticalFlip object at 0x7f2d63b41d90>
    <utils.myRandomRotation object at 0x7f2d63b41e20>
    <utils.myResize object at 0x7f2d63b41e80>
),
2024-09-27 22:56:58 - test_transformer: Compose(
    <utils.myNormalize object at 0x7f2d63b41f70>
    <utils.myToTensor object at 0x7f2d63b41f40>
    <utils.myResize object at 0x7f2d63b41fa0>
),
2024-09-27 22:56:58 - opt: AdamW,
2024-09-27 22:56:58 - lr: 0.001,
2024-09-27 22:56:58 - betas: (0.9, 0.999),
2024-09-27 22:56:58 - eps: 1e-08,
2024-09-27 22:56:58 - weight_decay: 0.01,
2024-09-27 22:56:58 - amsgrad: False,
2024-09-27 22:56:58 - sch: CosineAnnealingLR,
2024-09-27 22:56:58 - T_max: 50,
2024-09-27 22:56:58 - eta_min: 1e-05,
2024-09-27 22:56:58 - last_epoch: -1,
2024-09-27 22:57:09 - flops: 1.40285952, params: 12.620329, Total params: : 16.6846
2024-09-27 22:57:11 - train: epoch 1, iter:0, loss: 1.4640, lr: 0.001
2024-09-27 22:57:13 - train: epoch 1, iter:1, loss: 1.3937, lr: 0.001
2024-09-27 22:57:14 - train: epoch 1, iter:2, loss: 1.3549, lr: 0.001
2024-09-27 22:57:16 - train: epoch 1, iter:3, loss: 1.3289, lr: 0.001
2024-09-27 22:57:17 - train: epoch 1, iter:4, loss: 1.3542, lr: 0.001
2024-09-27 22:57:19 - train: epoch 1, iter:5, loss: 1.3406, lr: 0.001
2024-09-27 22:57:21 - train: epoch 1, iter:6, loss: 1.3351, lr: 0.001
2024-09-27 22:57:23 - train: epoch 1, iter:7, loss: 1.3148, lr: 0.001
2024-09-27 22:57:24 - train: epoch 1, iter:8, loss: 1.2832, lr: 0.001
2024-09-27 22:57:26 - train: epoch 1, iter:9, loss: 1.2536, lr: 0.001
2024-09-27 22:57:28 - train: epoch 1, iter:10, loss: 1.2321, lr: 0.001
2024-09-27 22:57:30 - train: epoch 1, iter:11, loss: 1.1989, lr: 0.001
2024-09-27 22:57:31 - train: epoch 1, iter:12, loss: 1.1653, lr: 0.001
2024-09-27 22:57:33 - train: epoch 1, iter:13, loss: 1.1343, lr: 0.001
2024-09-27 22:57:35 - train: epoch 1, iter:14, loss: 1.1214, lr: 0.001
2024-09-27 22:57:37 - train: epoch 1, iter:15, loss: 1.1101, lr: 0.001
2024-09-27 22:57:39 - train: epoch 1, iter:16, loss: 1.0889, lr: 0.001
2024-09-27 22:57:41 - train: epoch 1, iter:17, loss: 1.0808, lr: 0.001
2024-09-27 22:57:42 - train: epoch 1, iter:18, loss: 1.0670, lr: 0.001
2024-09-27 22:57:44 - train: epoch 1, iter:19, loss: 1.0582, lr: 0.001
2024-09-27 22:57:46 - train: epoch 1, iter:20, loss: 1.0475, lr: 0.001
2024-09-27 22:57:48 - train: epoch 1, iter:21, loss: 1.0375, lr: 0.001
2024-09-27 22:57:50 - train: epoch 1, iter:22, loss: 1.0305, lr: 0.001
2024-09-27 22:57:52 - train: epoch 1, iter:23, loss: 1.0193, lr: 0.001
2024-09-27 22:57:54 - train: epoch 1, iter:24, loss: 1.0056, lr: 0.001
2024-09-27 22:57:56 - train: epoch 1, iter:25, loss: 0.9950, lr: 0.001
2024-09-27 22:57:57 - train: epoch 1, iter:26, loss: 0.9874, lr: 0.001
2024-09-27 22:57:59 - train: epoch 1, iter:27, loss: 0.9759, lr: 0.001
2024-09-27 22:58:01 - train: epoch 1, iter:28, loss: 0.9685, lr: 0.001
2024-09-27 22:58:03 - train: epoch 1, iter:29, loss: 0.9600, lr: 0.001
2024-09-27 22:58:05 - train: epoch 1, iter:30, loss: 0.9524, lr: 0.001
